EPOCH,no aug,Type 1,Type 5,Type 7
0,2.33E-05,5.31E-05,2.07E-05,5.26E-05
1,2.28E-05,2.07E-05,5.03E-05,2.90E-05
2,5.09E-05,0.00012754,7.05E-05,0.00010952
3,4.91E-05,0.00017537,1.93E-05,9.55E-05
4,2.12E-05,0.00027394,0.00024439,3.07E-05
5,8.08E-05,0.00051633,0.00073015,6.36E-05
6,0.00022632,0.002941,0.00089339,0.00051866
7,0.00022735,0.0018274,0.00080678,0.0005804
8,0.00028451,0.0004095,0.0025186,0.0010607
9,0.00065293,0.00059784,0.0041766,0.0011274
10,0.00043397,0.0005416,0.0036196,0.0017429
11,0.00051935,0.0035252,0.0011127,0.0011951
12,0.00053229,0.0066256,0.00030659,0.0016451
13,0.00067248,0.013596,0.00039357,0.0018587
14,0.00045786,0.053541,0.00059173,0.0022781
15,0.0011655,0.043212,0.001111,0.0025621
16,0.00074558,0.050449,0.00099934,0.0026216
17,0.00091743,0.0046163,0.0014622,0.0022845
18,0.0051556,0.0020203,0.0016359,0.0020249
19,0.0015149,0.0054007,0.0037584,0.0053114
20,0.0099715,0.0025043,0.0035554,0.0066567
21,0.010018,0.013425,0.0013434,0.0050003
22,0.006806,0.0042333,0.0039265,0.0054846
23,0.0019435,0.0029928,0.0012428,0.0041164
24,0.0039179,0.00671,0.0050961,0.03249
25,0.0010715,0.0054442,0.0049799,0.0066633
26,0.0023354,0.0044378,0.0044076,0.023044
27,0.0012615,0.014255,0.0035595,0.0054823
28,0.0026677,0.0026631,0.0056168,0.034297
29,0.0033011,0.048897,0.0082891,0.0027941
30,0.0040884,0.033729,0.0064,0.046135
31,0.0041382,0.038216,0.009277,0.010879
32,0.010649,0.002582,0.0094806,0.044809
33,0.035278,0.078592,0.027931,0.0062125
34,0.018388,0.021938,0.01195,0.014695
35,0.01324,0.023794,0.064698,0.027074
36,0.010388,0.013639,0.059851,0.076306
37,0.006513,0.026883,0.058188,0.060762
38,0.0053958,0.017991,0.028398,0.024951
39,0.006048,0.024656,0.026223,0.043782
40,0.0070042,0.021901,0.028562,0.046339
41,0.013725,0.018533,0.047945,0.036601
42,0.0071677,0.013607,0.049679,0.15137
43,0.0058021,0.027963,0.070951,0.084048
44,0.0062332,0.015174,0.0646,0.053727
45,0.0053299,0.025373,0.073403,0.09457
46,0.0094371,0.025245,0.054101,0.089463
47,0.0060219,0.023384,0.052069,0.10874
48,0.011377,0.039091,0.071535,0.12683
49,0.01013,0.028681,0.071933,0.096647
50,0.023003,0.047127,0.045139,0.1799
51,0.010739,0.038175,0.15739,0.13322
52,0.024719,0.086515,0.039983,0.10535
53,0.013564,0.06197,0.077784,0.10045
54,0.024554,0.12865,0.18039,0.16417
55,0.02096,0.12469,0.07815,0.055746
56,0.030661,0.11688,0.11183,0.14896
57,0.019344,0.06329,0.11404,0.10062
58,0.034864,0.11496,0.13755,0.15402
59,0.026969,0.075782,0.091153,0.05374
60,0.022635,0.15664,0.20674,0.11065
61,0.021545,0.091859,0.083333,0.11059
62,0.019413,0.1727,0.13785,0.11035
63,0.023335,0.10647,0.18515,0.13139
64,0.040604,0.16351,0.10903,0.088657
65,0.041159,0.10094,0.086898,0.12385
66,0.045815,0.14266,0.15795,0.1381
67,0.035592,0.098513,0.088609,0.17942
68,0.053338,0.14145,0.068554,0.14227
69,0.047732,0.19913,0.11185,0.14138
70,0.062094,0.22346,0.077529,0.12113
71,0.04848,0.18575,0.10091,0.097319
72,0.06179,0.1475,0.10082,0.11227
73,0.0575,0.14033,0.12423,0.10557
74,0.091373,0.1628,0.13453,0.11904
75,0.10001,0.11326,0.17323,0.14451
76,0.092375,0.18876,0.11866,0.11952
77,0.09134,0.10525,0.20328,0.10552
78,0.065102,0.089127,0.11645,0.088071
79,0.091556,0.16496,0.21219,0.10515
80,0.09782,0.12353,0.1465,0.08738
81,0.091595,0.16682,0.15679,0.10334
82,0.098332,0.1231,0.10006,0.085829
83,0.096603,0.17931,0.13056,0.099132
84,0.10273,0.13711,0.1117,0.091406
85,0.068601,0.18601,0.14508,0.11324
86,0.10348,0.19637,0.14805,0.10654
87,0.068928,0.16232,0.15844,0.14336
88,0.070461,0.21119,0.15788,0.10804
89,0.063023,0.18386,0.17302,0.12966
90,0.069877,0.21374,0.22313,0.11163
91,0.069546,0.21483,0.18856,0.12277
92,0.068654,0.17312,0.19153,0.11293
93,0.069606,0.19894,0.23135,0.11782
94,0.07049,0.20364,0.16458,0.10714
95,0.069469,0.17864,0.21916,0.11941
96,0.070823,0.17603,0.17444,0.10804
97,0.069921,0.17292,0.19747,0.14622
98,0.06629,0.1822,0.17739,0.12627
99,0.069793,0.16674,0.19544,0.12905
