EPOCH,no aug,Type 1,Type 5,Type 7
137,0.017845,0.10413,0.21678,0.09705
138,0.018694,0.098243,0.23461,0.077317
139,0.019562,0.10495,0.20928,0.083215
140,0.018428,0.053337,0.21829,0.080111
141,0.02046,0.086453,0.18293,0.071487
142,0.014693,0.1008,0.20567,0.06069
143,0.016361,0.10774,0.15728,0.057984
144,0.018597,0.13841,0.17936,0.056799
145,0.017204,0.081265,0.14966,0.077064
146,0.016721,0.14871,0.17202,0.06923
147,0.015465,0.12222,0.16202,0.11742
148,0.019996,0.12065,0.14499,0.083273
149,0.019724,0.10972,0.13595,0.13538
150,0.017708,0.11548,0.14092,0.10061
151,0.021019,0.087254,0.17569,0.12099
152,0.021281,0.11042,0.26624,0.10073
153,0.017992,0.074183,0.21307,0.11168
154,0.021128,0.13626,0.23029,0.083497
155,0.021463,0.087144,0.19905,0.077493
156,0.019054,0.15026,0.20066,0.068444
157,0.019684,0.10697,0.14612,0.1034
158,0.018687,0.18589,0.22467,0.09507
159,0.018466,0.11913,0.14325,0.10684
160,0.016459,0.20722,0.16623,0.08888
161,0.020552,0.15004,0.1758,0.07946
162,0.01933,0.21977,0.18918,0.1327
163,0.019343,0.19066,0.17981,0.09612
164,0.017843,0.2229,0.21178,0.14672
165,0.019316,0.17056,0.17416,0.067206
166,0.019538,0.1933,0.15584,0.13352
167,0.022242,0.12634,0.14351,0.0753
168,0.022422,0.23209,0.11056,0.10756
169,0.022297,0.18174,0.12097,0.076239
170,0.019407,0.21417,0.17676,0.10998
171,,0.128,0.1964,
172,,0.15592,0.14472,
173,,0.17954,0.13772,
174,,0.18369,0.16304,
175,,0.15236,0.14312,
176,,0.17065,0.15967,
177,,0.10385,0.14919,
178,,0.15107,0.14949,
179,,0.10525,0.17677,
180,,0.11546,0.19971,
181,,0.12114,0.22453,
182,,0.14668,0.21151,
183,,0.14473,0.229,
184,,0.18656,0.22197,
185,,0.18829,0.19143,
186,,0.14037,0.19964,
187,,0.20018,0.20964,
188,,0.15235,0.19961,
189,,0.22168,0.20154,
190,,0.12869,0.18735,
191,,0.11245,0.16002,
192,,0.10003,0.23233,
193,,0.10957,0.18357,
194,,0.15692,0.24027,
195,,0.10062,0.19579,
196,,0.13867,0.2183,
197,,0.10287,0.19558,
198,,0.13255,0.19679,
199,,0.092734,0.16413,
200,,0.13575,0.20539,
201,,0.12392,0.14334,
202,,0.18818,0.18963,
203,,0.12921,0.18198,
204,,0.15789,0.21326,
205,,0.093645,0.19638,
206,,0.1176,0.20975,
207,,0.15302,0.20097,
208,,0.14113,0.2098,
209,,0.12721,0.1823,
210,,0.11484,0.2284,
211,,0.13371,0.19662,
212,,0.11491,0.21279,
213,,0.11335,0.16967,
214,,0.10606,0.18829,
215,,0.10885,0.1669,
216,,0.105,0.18307,
217,,0.11682,0.16201,
218,,0.11267,0.22167,
219,,0.099072,0.20059,
220,,0.1127,0.23507,
221,,0.1028,0.18843,
222,,0.067525,0.21512,
223,,0.10785,0.22087,
224,,0.10193,0.28074,
225,,0.098639,0.22857,
226,,0.10117,0.24452,
227,,0.10138,0.22491,
228,,0.10408,0.2402,
229,,0.12277,0.27074,
230,,0.15187,0.21969,
231,,0.13631,0.25658,
232,,0.14831,0.22956,
233,,0.13358,0.22943,
234,,0.14529,0.25806,
235,,0.16829,0.25594,
236,,0.15124,0.28,
237,,0.16618,0.26932,
238,,0.16311,0.28527,
239,,0.16229,0.30201,
240,,0.15479,0.26349,
241,,0.18127,0.2828,
242,,0.1687,0.28789,
243,,0.19897,0.31973,
244,,0.16815,0.29935,
245,,0.16393,0.31676,
246,,0.15191,0.29718,
247,,0.17541,0.33946,
248,,0.15202,0.25994,
249,,0.16755,0.32774,
250,,0.13889,0.26494,
251,,0.182,0.29939,
252,,0.15563,0.26977,
253,,0.16948,0.26667,
254,,0.16298,0.27778,
255,,0.15791,0.27388,
256,,0.18635,0.28203,
257,,0.14168,0.30161,
258,,0.17758,0.27804,
259,,0.17291,0.26776,
260,,0.1824,0.25417,
261,,0.20129,0.25893,
262,,0.19805,0.25039,
263,,0.19833,0.25504,
264,,0.19067,0.26647,
265,,0.20185,0.27454,
266,,0.21051,0.25155,
267,,0.19598,0.27762,
268,,0.21174,0.25488,
269,,0.18967,0.28879,
270,,0.20705,0.26746,
271,,0.17903,0.27229,
272,,0.19524,0.23467,
273,,0.20291,0.23624,
