               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056207,            0.020141,                   0,          0.00066667,                 0.2,          0.00052933,          5.2933e-05,             0.12115,            0.019811,                   0,             0.11497,            9.24e-05,            9.24e-05
                   1,             0.11568,            0.024964,                   0,          0.00033333,                 0.1,          0.00020614,          2.0614e-05,             0.11941,            0.019907,                   0,             0.11284,          0.00027635,          0.00027635
                   2,             0.11028,            0.025074,                   0,          0.00066667,                 0.2,           0.0013017,          0.00013017,             0.11692,            0.020091,                   0,              0.1107,          0.00045918,          0.00045918
                   3,             0.11051,            0.027514,                   0,          0.00033333,                 0.1,           0.0009178,           9.178e-05,             0.11556,            0.020296,                   0,             0.10856,          0.00064088,          0.00064088
                   4,             0.10318,            0.029611,                   0,               0.001,                 0.3,           0.0019875,          0.00037787,             0.11275,            0.020468,                   0,             0.10642,          0.00082146,          0.00082146
                   5,            0.098242,            0.035301,                   0,           0.0013333,                 0.4,           0.0022658,          0.00052823,             0.11038,            0.020587,                   0,             0.10428,           0.0010009,           0.0010009
                   6,             0.10231,            0.025788,                   0,               0.001,                 0.3,           0.0082694,           0.0014855,             0.10791,            0.020745,                   0,             0.10213,           0.0011792,           0.0011792
                   7,            0.092595,            0.031792,                   0,           0.0016667,                 0.5,           0.0022814,          0.00065816,             0.10794,            0.020133,                   0,             0.09999,           0.0013564,           0.0013564
                   8,            0.096537,            0.023979,                   0,           0.0013333,                 0.4,           0.0022063,          0.00046849,             0.10734,            0.019879,                   0,            0.097846,           0.0015325,           0.0015325
                   9,            0.083839,            0.026596,                   0,               0.001,                 0.3,           0.0018159,          0.00033951,             0.10309,            0.020968,                   0,              0.0957,           0.0017074,           0.0017074
                  10,            0.090297,            0.025714,                   0,           0.0013333,                 0.4,           0.0014357,          0.00035825,            0.098772,            0.022053,                   0,            0.093553,           0.0018812,           0.0018812
                  11,            0.081279,             0.02868,                   0,           0.0013333,                 0.4,            0.004871,          0.00078846,            0.092991,             0.02376,                   0,            0.091405,           0.0020539,           0.0020539
                  12,            0.071575,            0.031566,                   0,           0.0016667,                 0.5,           0.0049066,           0.0009545,            0.089147,            0.025021,                   0,            0.089255,           0.0022255,           0.0022255
                  13,            0.069786,            0.037207,                   0,           0.0013333,                 0.4,            0.004008,           0.0023467,            0.087221,            0.025431,                   0,            0.087105,           0.0023959,           0.0023959
                  14,             0.07689,            0.027631,                   0,               0.002,                 0.6,           0.0081753,           0.0027305,            0.085911,            0.025732,                   0,            0.084954,           0.0025652,           0.0025652
                  15,             0.03838,            0.017281,                   0,               0.002,                 0.6,            0.011156,           0.0041457,            0.083079,            0.026375,                   0,            0.082801,           0.0027334,           0.0027334
                  16,             0.06829,            0.034087,                   0,           0.0023333,                 0.7,            0.022881,           0.0077254,            0.079436,            0.027413,                   0,            0.080647,           0.0029004,           0.0029004
                  17,            0.069968,            0.030042,                   0,           0.0023333,                 0.7,            0.027622,            0.005369,            0.081588,            0.026479,                   0,            0.078492,           0.0030664,           0.0030664
                  18,            0.073683,            0.027832,                   0,           0.0026667,                 0.8,           0.0099224,           0.0035673,            0.078879,            0.027558,                   0,            0.076336,           0.0032312,           0.0032312
                  19,            0.062333,            0.029905,                   0,           0.0082266,                 0.5,              0.0301,           0.0055976,            0.075624,            0.028653,                   0,            0.074179,           0.0033948,           0.0033948
                  20,            0.059705,            0.042877,                   0,           0.0057274,                 0.7,           0.0094997,           0.0027758,            0.072194,             0.03049,                   0,            0.072021,           0.0035574,           0.0035574
                  21,            0.051899,             0.03756,                   0,             0.01305,                 0.5,            0.029333,           0.0087966,            0.070162,            0.032223,                   0,            0.069862,           0.0037188,           0.0037188
                  22,            0.055169,            0.037409,                   0,            0.011139,                 0.5,            0.024752,           0.0048775,            0.073134,            0.034579,                   0,            0.067701,           0.0038791,           0.0038791
                  23,            0.050469,            0.040856,                   0,            0.013288,                 0.6,            0.021047,            0.006819,            0.070564,            0.039259,                   0,            0.065539,           0.0040382,           0.0040382
                  24,            0.065386,            0.025701,                   0,            0.014325,                 0.6,             0.01945,           0.0046924,            0.074321,            0.038938,                   0,            0.063377,           0.0041963,           0.0041963
                  25,            0.054172,             0.02748,                   0,           0.0085887,                 0.4,           0.0080846,           0.0021869,            0.078332,            0.038891,                   0,            0.061213,           0.0043532,           0.0043532
                  26,            0.054113,            0.025342,                   0,            0.018889,                 0.2,            0.035313,           0.0077423,            0.070664,            0.043192,                   0,            0.059048,            0.004509,            0.004509
                  27,            0.058008,            0.034109,                   0,           0.0056478,                 0.2,           0.0063374,           0.0023306,            0.076077,            0.042632,                   0,            0.056882,           0.0046636,           0.0046636
                  28,            0.044416,            0.022552,                   0,             0.11501,                 0.4,             0.27421,            0.072005,            0.072077,            0.047935,                   0,            0.054714,           0.0048171,           0.0048171
                  29,            0.048244,            0.037153,                   0,            0.029324,             0.20856,             0.03131,           0.0058299,            0.082127,            0.045444,                   0,            0.052546,           0.0049695,           0.0049695
                  30,            0.049876,            0.027263,                   0,            0.018086,                 0.2,            0.045048,            0.011573,            0.075748,             0.04889,                   0,            0.050376,           0.0051208,           0.0051208
                  31,            0.048789,            0.027545,                   0,            0.068738,                 0.2,             0.03312,           0.0084743,            0.085148,            0.045444,                   0,            0.048206,           0.0052709,           0.0052709
                  32,            0.047178,            0.028329,                   0,            0.059413,                 0.2,            0.034692,           0.0085426,            0.063855,            0.052315,                   0,            0.046034,             0.00542,             0.00542
                  33,            0.061418,            0.023666,                   0,            0.050812,                 0.2,            0.046915,           0.0092461,            0.083635,            0.046456,                   0,            0.043861,           0.0055679,           0.0055679
                  34,            0.053533,            0.025742,                   0,            0.067001,                 0.2,            0.072683,            0.011022,             0.07177,            0.044386,                   0,            0.041687,           0.0057146,           0.0057146
                  35,            0.052008,            0.032929,                   0,            0.053651,                 0.1,             0.10624,            0.031903,            0.070169,            0.040318,                   0,            0.039512,           0.0058603,           0.0058603
                  36,            0.049701,            0.025723,                   0,              0.1226,                 0.2,             0.09166,            0.028153,            0.065268,            0.038839,                   0,            0.037336,           0.0060048,           0.0060048
                  37,             0.04221,            0.021478,                   0,             0.04808,                 0.4,            0.046115,            0.010573,            0.073231,            0.036167,                   0,            0.035158,           0.0061482,           0.0061482
                  38,            0.064581,            0.025871,                   0,            0.058728,                 0.3,            0.039963,            0.008151,            0.063472,             0.03723,                   0,             0.03298,           0.0062904,           0.0062904
                  39,            0.070118,            0.023721,                   0,             0.29268,                 0.1,             0.18752,            0.033579,            0.061983,            0.032706,                   0,              0.0308,           0.0064315,           0.0064315
