               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1106,            0.022854,                   0,          0.00066667,                 0.2,          0.00052612,          5.2612e-05,              0.1212,            0.019736,                   0,             0.11497,            9.24e-05,            9.24e-05
                   1,             0.11311,            0.024905,                   0,          0.00033333,                 0.1,          0.00028995,          2.8995e-05,             0.11941,            0.019944,                   0,             0.11283,          0.00027466,          0.00027466
                   2,             0.11328,            0.024755,                   0,          0.00066667,                 0.2,          0.00049649,          0.00010952,             0.11719,            0.020081,                   0,             0.11069,          0.00045355,          0.00045355
                   3,             0.10836,            0.027563,                   0,          0.00066667,                 0.2,          0.00051679,          9.5511e-05,             0.11471,            0.020203,                   0,             0.10855,          0.00062905,          0.00062905
                   4,            0.097215,            0.028039,                   0,          0.00033333,                 0.1,           0.0003074,           3.074e-05,             0.11234,            0.020283,                   0,              0.1064,          0.00080117,          0.00080117
                   5,            0.099651,            0.030336,                   0,          0.00033333,                 0.1,          0.00021206,          6.3618e-05,             0.11094,             0.02019,                   0,             0.10425,          0.00096991,          0.00096991
                   6,            0.095023,            0.022028,                   0,           0.0013333,                 0.4,           0.0034978,          0.00051866,             0.10899,            0.020226,                   0,             0.10209,           0.0011353,           0.0011353
                   7,            0.096239,            0.025812,                   0,           0.0016667,                 0.5,           0.0036574,           0.0005804,             0.10622,            0.020704,                   0,            0.099931,           0.0012972,           0.0012972
                   8,             0.09367,            0.030649,                   0,           0.0016667,                 0.5,           0.0055493,           0.0010607,             0.10182,            0.021793,                   0,            0.097769,           0.0014558,           0.0014558
                   9,            0.087376,            0.025573,                   0,           0.0023333,                 0.7,            0.005074,           0.0011274,            0.095581,            0.023578,                   0,            0.095603,           0.0016111,           0.0016111
                  10,             0.09146,            0.029101,                   0,           0.0026667,                 0.8,           0.0083776,           0.0017429,            0.090294,            0.025187,                   0,            0.093434,           0.0017629,           0.0017629
                  11,            0.082701,            0.027293,                   0,           0.0016667,                 0.5,           0.0064348,           0.0011951,            0.089493,            0.025457,                   0,            0.091262,           0.0019114,           0.0019114
