               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11055,            0.023368,                   0,          0.00033333,                 0.1,           0.0002068,           2.068e-05,              0.1209,            0.019879,                   0,             0.11497,            9.24e-05,            9.24e-05
                   1,             0.11138,            0.022783,                   0,          0.00066667,                 0.2,          0.00050433,          5.0433e-05,             0.11925,            0.020024,                   0,             0.11284,          0.00027635,          0.00027635
                   2,             0.10114,              0.0278,                   0,          0.00066667,                 0.2,           0.0005098,          7.0407e-05,             0.11611,            0.020444,                   0,              0.1107,          0.00045918,          0.00045918
                   3,              0.1082,            0.026944,                   0,          0.00033333,                 0.1,          0.00019461,          3.8923e-05,             0.11295,            0.020823,                   0,             0.10856,          0.00064088,          0.00064088
                   4,             0.10195,            0.026231,                   0,               0.001,                 0.3,            0.002175,          0.00033021,             0.10937,            0.021316,                   0,             0.10642,          0.00082146,          0.00082146
                   5,             0.10594,            0.023958,                   0,               0.001,                 0.3,           0.0019614,          0.00071577,             0.10615,            0.021773,                   0,             0.10428,           0.0010009,           0.0010009
                   6,            0.094341,            0.026568,                   0,           0.0013333,                 0.4,            0.006647,           0.0011549,             0.10511,            0.021607,                   0,             0.10213,           0.0011792,           0.0011792
                   7,            0.092965,            0.034744,                   0,           0.0016667,                 0.5,           0.0048462,           0.0012411,             0.10276,            0.021882,                   0,             0.09999,           0.0013564,           0.0013564
                   8,            0.093005,            0.029181,                   0,           0.0013333,                 0.4,           0.0045025,           0.0017431,            0.099913,            0.022323,                   0,            0.097846,           0.0015325,           0.0015325
                   9,            0.091243,             0.03433,                   0,           0.0023333,                 0.7,           0.0070234,           0.0021864,            0.096121,            0.023153,                   0,              0.0957,           0.0017074,           0.0017074
                  10,             0.08301,            0.027059,                   0,           0.0023333,                 0.7,            0.013215,           0.0042802,            0.090832,            0.024486,                   0,            0.093553,           0.0018812,           0.0018812
                  11,            0.088058,            0.032073,                   0,               0.002,                 0.6,            0.007048,           0.0023198,            0.089131,            0.024943,                   0,            0.091405,           0.0020539,           0.0020539
                  12,            0.075227,             0.02941,                   0,           0.0023333,                 0.7,           0.0036777,           0.0009291,            0.086619,            0.025493,                   0,            0.089255,           0.0022255,           0.0022255
                  13,            0.073808,             0.02889,                   0,           0.0023333,                 0.7,           0.0031553,          0.00077027,            0.084315,            0.026323,                   0,            0.087105,           0.0023959,           0.0023959
                  14,            0.074227,             0.02355,                   0,           0.0026667,                 0.8,           0.0070654,           0.0012335,            0.081067,             0.02719,                   0,            0.084954,           0.0025652,           0.0025652
                  15,            0.074355,            0.020889,                   0,           0.0026667,                 0.8,            0.015999,           0.0021799,              0.0796,            0.027569,                   0,            0.082801,           0.0027334,           0.0027334
                  16,            0.066083,            0.037757,                   0,           0.0048344,                 0.6,            0.029272,           0.0035305,            0.078125,            0.027818,                   0,            0.080647,           0.0029004,           0.0029004
                  17,            0.067564,             0.02639,                   0,           0.0067878,                 0.7,            0.039125,           0.0055766,             0.07669,            0.028311,                   0,            0.078492,           0.0030664,           0.0030664
                  18,            0.072347,            0.026438,                   0,           0.0071963,                 0.8,            0.040816,            0.011958,            0.080347,            0.027039,                   0,            0.076336,           0.0032312,           0.0032312
                  19,            0.065319,            0.035805,                   0,           0.0028612,                 0.8,            0.007937,           0.0017129,            0.075326,            0.028933,                   0,            0.074179,           0.0033948,           0.0033948
                  20,            0.057993,            0.042036,                   0,            0.002751,                 0.8,            0.007998,           0.0016995,            0.075062,            0.028944,                   0,            0.072021,           0.0035574,           0.0035574
                  21,            0.063509,            0.054965,                   0,           0.0056742,                 0.5,            0.022113,           0.0033832,            0.084543,            0.027252,                   0,            0.069862,           0.0037188,           0.0037188
                  22,            0.054382,             0.02982,                   0,           0.0061313,                 0.5,            0.018794,           0.0062278,            0.074947,            0.031372,                   0,            0.067701,           0.0038791,           0.0038791
                  23,            0.045034,            0.027845,                   0,            0.002567,                 0.3,           0.0049086,           0.0024904,            0.082636,            0.031486,                   0,            0.065539,           0.0040382,           0.0040382
                  24,            0.052271,              0.0338,                   0,           0.0052392,                 0.9,            0.013542,           0.0036381,            0.073676,            0.036234,                   0,            0.063377,           0.0041963,           0.0041963
                  25,            0.051891,            0.028161,                   0,           0.0080919,                 0.6,            0.024707,           0.0091433,            0.075049,            0.038304,                   0,            0.061213,           0.0043532,           0.0043532
                  26,            0.053266,            0.040356,                   0,           0.0067614,                 0.5,            0.028792,           0.0085267,            0.079022,            0.037734,                   0,            0.059048,            0.004509,            0.004509
                  27,            0.054398,            0.040694,                   0,             0.24749,                 0.1,              0.1154,            0.044254,             0.07432,            0.042705,                   0,            0.056882,           0.0046636,           0.0046636
                  28,            0.049716,            0.032545,                   0,            0.015201,                 0.5,            0.031099,           0.0092623,             0.07115,            0.045403,                   0,            0.054714,           0.0048171,           0.0048171
                  29,            0.053385,            0.030686,                   0,             0.20786,                 0.1,             0.11993,            0.025562,            0.075716,            0.049751,                   0,            0.052546,           0.0049695,           0.0049695
                  30,            0.050547,            0.032297,                   0,            0.024267,                 0.5,            0.017524,           0.0051233,            0.080599,            0.048952,                   0,            0.050376,           0.0051208,           0.0051208
                  31,             0.05708,            0.024755,                   0,             0.13978,                 0.2,            0.077868,            0.031726,            0.064767,            0.048278,                   0,            0.048206,           0.0052709,           0.0052709
                  32,            0.042597,            0.029025,                   0,            0.031719,                 0.3,            0.049753,            0.016254,            0.069778,            0.045994,                   0,            0.046034,             0.00542,             0.00542
                  33,            0.047921,            0.034158,                   0,            0.021863,                 0.2,            0.030478,           0.0099972,            0.072918,            0.042103,                   0,            0.043861,           0.0055679,           0.0055679
                  34,            0.050797,            0.030388,                   0,             0.11197,                 0.2,             0.12901,            0.036951,            0.064693,            0.040318,                   0,            0.041687,           0.0057146,           0.0057146
                  35,            0.049027,            0.023516,                   0,            0.030099,                 0.2,            0.032659,            0.010787,            0.068685,            0.038912,                   0,            0.039512,           0.0058603,           0.0058603
                  36,            0.052619,            0.025986,                   0,            0.060912,                 0.1,             0.12264,            0.028281,            0.068506,            0.036193,                   0,            0.037336,           0.0060048,           0.0060048
                  37,            0.047967,            0.023766,                   0,              0.0643,                 0.2,            0.075713,            0.025251,            0.065685,             0.03462,                   0,            0.035158,           0.0061482,           0.0061482
                  38,            0.044675,            0.026043,                   0,             0.09271,                 0.1,            0.073567,            0.017067,            0.066995,             0.03214,                   0,             0.03298,           0.0062904,           0.0062904
                  39,            0.041775,            0.025525,                   0,             0.19033,                 0.2,             0.10922,            0.029763,            0.060368,            0.032778,                   0,              0.0308,           0.0064315,           0.0064315
                  40,            0.041047,            0.023462,                   0,              0.2956,              0.1304,             0.16374,            0.034252,            0.064666,            0.030065,                   0,            0.028619,           0.0065715,           0.0065715
                  41,             0.04765,            0.032385,                   0,             0.24955,                 0.1,              0.1622,            0.086187,            0.057846,            0.031315,                   0,            0.026437,           0.0067104,           0.0067104
                  42,            0.039356,            0.023608,                   0,              0.8496,                 0.1,             0.15208,            0.037669,            0.066212,            0.028414,                   0,            0.024254,           0.0068482,           0.0068482
                  43,            0.043687,            0.029951,                   0,             0.79433,                 0.1,             0.15666,            0.034271,            0.069032,            0.027932,                   0,             0.02207,           0.0069848,           0.0069848
                  44,            0.053462,             0.02667,                   0,            0.067851,                 0.2,            0.049872,            0.023091,            0.060885,            0.029821,                   0,            0.019885,           0.0071203,           0.0071203
                  45,             0.04375,            0.025646,                   0,             0.81474,                 0.1,             0.16639,            0.055958,            0.063265,             0.02815,                   0,            0.017698,           0.0072546,           0.0072546
                  46,            0.045596,            0.034647,                   0,             0.26717,                 0.1,            0.074121,            0.031967,            0.059187,            0.029162,                   0,            0.015511,           0.0073879,           0.0073879
                  47,            0.047592,            0.029098,                   0,             0.63841,             0.18305,              0.2193,            0.077394,            0.065759,            0.025753,                   0,            0.013322,             0.00752,             0.00752
                  48,             0.03525,            0.022388,                   0,             0.13277,                 0.2,             0.13195,            0.047666,            0.055502,            0.028056,                   0,            0.011132,            0.007651,            0.007651
                  49,            0.054904,            0.028475,                   0,             0.31243,                 0.1,            0.079557,            0.018752,            0.073704,            0.023584,                   0,           0.0089412,           0.0077808,           0.0077808
                  50,            0.058558,            0.020536,                   0,             0.18351,                 0.2,             0.14563,            0.062369,            0.057002,            0.026541,                   0,           0.0078313,           0.0078313,           0.0078313
                  51,            0.044203,            0.017721,                   0,            0.099931,                 0.5,            0.082685,            0.023627,            0.069546,            0.023552,                   0,           0.0078313,           0.0078313,           0.0078313
                  52,            0.043413,            0.020868,                   0,             0.15256,                 0.3,             0.12138,            0.045927,            0.054615,            0.026074,                   0,           0.0078031,           0.0078031,           0.0078031
                  53,            0.039942,            0.022727,                   0,             0.14908,                 0.4,             0.16354,            0.042376,            0.066405,            0.024362,                   0,           0.0077749,           0.0077749,           0.0077749
                  54,            0.044476,            0.020903,                   0,             0.27882,                 0.3,              0.2315,            0.063777,            0.054536,            0.026173,                   0,           0.0077467,           0.0077467,           0.0077467
                  55,            0.042315,            0.020632,                   0,             0.12848,                 0.5,             0.11908,            0.040981,            0.064196,             0.02416,                   0,           0.0077186,           0.0077186,           0.0077186
                  56,            0.044077,            0.026883,                   0,             0.18172,                 0.3,             0.17997,            0.070295,            0.054251,            0.026406,                   0,           0.0076904,           0.0076904,           0.0076904
                  57,            0.047471,             0.02133,                   0,             0.24627,                 0.2,             0.16409,            0.049981,            0.062318,            0.023978,                   0,           0.0076622,           0.0076622,           0.0076622
                  58,            0.043404,            0.013542,                   0,             0.16855,                 0.4,              0.1645,            0.076685,            0.054517,            0.025016,                   0,            0.007634,            0.007634,            0.007634
                  59,            0.043762,            0.018289,                   0,             0.19456,                 0.4,             0.13132,            0.047352,            0.062587,            0.022696,                   0,           0.0076059,           0.0076059,           0.0076059
                  60,            0.040795,            0.020765,                   0,             0.20116,                 0.5,             0.18495,            0.090984,            0.053482,            0.023942,                   0,           0.0075777,           0.0075777,           0.0075777
                  61,            0.036989,            0.016857,                   0,             0.20695,                 0.5,             0.17978,            0.064896,            0.060947,            0.021326,                   0,           0.0075495,           0.0075495,           0.0075495
                  62,            0.041186,            0.014978,                   0,             0.31931,                 0.7,             0.28329,            0.084255,            0.052084,            0.022727,                   0,           0.0075213,           0.0075213,           0.0075213
                  63,            0.033934,            0.012431,                   0,              0.2597,                 0.4,             0.20973,            0.078674,            0.060188,            0.022068,                   0,           0.0074932,           0.0074932,           0.0074932
                  64,             0.04299,            0.025937,                   0,             0.23459,                 0.5,              0.2087,             0.06387,            0.052327,            0.024383,                   0,            0.007465,            0.007465,            0.007465
                  65,            0.038002,            0.018038,                   0,             0.21899,                 0.4,             0.17158,            0.072394,            0.057837,            0.023314,                   0,           0.0074368,           0.0074368,           0.0074368
                  66,            0.053762,            0.013698,                   0,             0.22065,                 0.6,             0.18575,            0.071254,            0.050175,             0.02528,                   0,           0.0074087,           0.0074087,           0.0074087
                  67,             0.03928,            0.022405,                   0,             0.30265,                 0.5,             0.20029,            0.075664,            0.063391,            0.022774,                   0,           0.0073805,           0.0073805,           0.0073805
                  68,            0.035685,             0.01707,                   0,             0.20057,                 0.6,             0.20028,            0.098912,            0.055025,               0.025,                   0,           0.0073523,           0.0073523,           0.0073523
                  69,             0.03875,            0.014283,                   0,             0.26679,                 0.4,             0.19349,            0.073852,            0.065481,            0.022375,                   0,           0.0073241,           0.0073241,           0.0073241
                  70,            0.040182,             0.01495,                   0,             0.35057,                 0.5,              0.2576,            0.089475,            0.061965,            0.023708,                   0,            0.007296,            0.007296,            0.007296
                  71,            0.036151,            0.013537,                   0,             0.29655,                 0.5,             0.22023,            0.092144,            0.063863,            0.022027,                   0,           0.0072678,           0.0072678,           0.0072678
                  72,            0.036795,            0.012404,                   0,             0.31087,                 0.5,             0.25484,             0.11133,            0.059748,            0.022509,                   0,           0.0072396,           0.0072396,           0.0072396
                  73,            0.039251,            0.012848,                   0,             0.24435,                 0.5,             0.18979,            0.065481,            0.063065,            0.021342,                   0,           0.0072114,           0.0072114,           0.0072114
                  74,            0.043856,            0.014212,                   0,             0.21692,                 0.4,             0.20332,            0.094197,            0.055795,            0.022234,                   0,           0.0071833,           0.0071833,           0.0071833
                  75,            0.034817,            0.012838,                   0,             0.53523,                 0.2,             0.24519,            0.094961,            0.060561,            0.021217,                   0,           0.0071551,           0.0071551,           0.0071551
                  76,            0.040155,            0.012355,                   0,             0.22219,                 0.6,             0.20887,            0.091922,             0.05807,            0.021067,                   0,           0.0071269,           0.0071269,           0.0071269
                  77,             0.03338,            0.015318,                   0,             0.34777,             0.64115,             0.29389,             0.15196,            0.055182,             0.02046,                   0,           0.0070987,           0.0070987,           0.0070987
                  78,            0.039857,            0.014181,                   0,             0.26274,                 0.7,             0.23063,            0.086417,            0.060236,            0.020522,                   0,           0.0070706,           0.0070706,           0.0070706
                  79,            0.038473,            0.010532,                   0,             0.29329,                 0.7,             0.30485,              0.1755,             0.05107,            0.021959,                   0,           0.0070424,           0.0070424,           0.0070424
                  80,            0.049064,            0.019111,                   0,             0.31198,                 0.5,             0.23247,            0.070983,            0.059809,            0.021622,                   0,           0.0070142,           0.0070142,           0.0070142
                  81,            0.040841,            0.013889,                   0,             0.32022,                 0.4,             0.26199,             0.12598,            0.055111,            0.023833,                   0,            0.006986,            0.006986,            0.006986
                  82,            0.034358,            0.010934,                   0,             0.32992,             0.39438,             0.28023,            0.084644,            0.061044,            0.024009,                   0,           0.0069579,           0.0069579,           0.0069579
                  83,            0.040588,            0.010541,                   0,             0.32574,                 0.3,             0.24831,             0.16391,             0.05265,            0.026183,                   0,           0.0069297,           0.0069297,           0.0069297
                  84,            0.033711,            0.015654,                   0,             0.23815,                 0.4,             0.24161,            0.064854,            0.060312,            0.024544,                   0,           0.0069015,           0.0069015,           0.0069015
                  85,            0.038866,            0.019221,                   0,             0.29214,                 0.4,              0.2929,             0.16225,            0.054522,            0.024222,                   0,           0.0068733,           0.0068733,           0.0068733
                  86,            0.035333,            0.012578,                   0,             0.46126,                 0.3,             0.27207,             0.11303,            0.066521,            0.022141,                   0,           0.0068452,           0.0068452,           0.0068452
                  87,            0.036485,            0.016585,                   0,             0.31666,                 0.3,             0.31246,             0.18616,            0.057075,            0.023827,                   0,            0.006817,            0.006817,            0.006817
                  88,            0.035474,            0.013127,                   0,             0.37643,                 0.3,             0.32006,             0.11485,            0.059751,            0.023537,                   0,           0.0067888,           0.0067888,           0.0067888
                  89,            0.034688,           0.0097078,                   0,             0.57163,                 0.4,              0.3531,             0.19104,            0.055578,            0.026079,                   0,           0.0067606,           0.0067606,           0.0067606
                  90,            0.033463,            0.013497,                   0,             0.39978,                 0.4,             0.28763,             0.11402,             0.05448,            0.025586,                   0,           0.0067325,           0.0067325,           0.0067325
                  91,            0.042881,            0.018507,                   0,             0.74249,                 0.4,             0.37407,              0.1854,            0.052915,            0.026116,                   0,           0.0067043,           0.0067043,           0.0067043
                  92,            0.033674,            0.012441,                   0,             0.38737,                 0.4,              0.3203,              0.1198,            0.053884,            0.025784,                   0,           0.0066761,           0.0066761,           0.0066761
                  93,            0.035136,           0.0096328,                   0,             0.44119,                 0.4,             0.30294,             0.17366,            0.052422,            0.027008,                   0,           0.0066479,           0.0066479,           0.0066479
                  94,            0.046832,            0.021818,                   0,             0.64917,             0.37376,             0.36867,             0.16745,            0.057572,            0.028591,                   0,           0.0066198,           0.0066198,           0.0066198
                  95,            0.032925,            0.013659,                   0,              0.7114,                 0.3,             0.37172,             0.18307,            0.048364,            0.028274,                   0,           0.0065916,           0.0065916,           0.0065916
                  96,            0.032491,            0.011586,                   0,             0.67978,                 0.3,             0.36239,             0.13943,             0.05505,             0.02734,                   0,           0.0065634,           0.0065634,           0.0065634
                  97,            0.043968,            0.012324,                   0,             0.39712,                 0.4,              0.3266,             0.16759,            0.048816,            0.027356,                   0,           0.0065352,           0.0065352,           0.0065352
                  98,            0.033667,            0.016359,                   0,             0.43373,                 0.4,             0.28724,             0.15669,            0.053267,            0.028492,                   0,           0.0065071,           0.0065071,           0.0065071
                  99,            0.046976,             0.01284,                   0,             0.37774,                 0.4,             0.34908,             0.15147,            0.049255,            0.029058,                   0,           0.0064789,           0.0064789,           0.0064789
                 100,            0.032621,           0.0081221,                   0,             0.36069,                 0.4,              0.3332,              0.1972,            0.048501,            0.029162,                   0,           0.0064507,           0.0064507,           0.0064507
                 101,            0.035298,            0.009743,                   0,             0.41388,                 0.4,             0.34769,             0.12211,            0.052837,            0.029063,                   0,           0.0064225,           0.0064225,           0.0064225
                 102,            0.027551,            0.011006,                   0,             0.31849,                 0.5,             0.37731,             0.19906,            0.046159,             0.02803,                   0,           0.0063944,           0.0063944,           0.0063944
                 103,             0.03538,            0.010816,                   0,             0.28563,                 0.4,             0.30192,             0.13848,            0.052259,            0.028726,                   0,           0.0063662,           0.0063662,           0.0063662
                 104,            0.026717,            0.010025,                   0,              0.3119,                 0.4,             0.30626,              0.1615,            0.049381,            0.028388,                   0,            0.006338,            0.006338,            0.006338
                 105,            0.036783,             0.01028,                   0,             0.27955,                 0.4,             0.31773,            0.095559,            0.059546,            0.026666,                   0,           0.0063098,           0.0063098,           0.0063098
                 106,            0.041886,            0.012192,                   0,             0.40437,                 0.4,             0.34793,             0.21175,            0.054218,            0.028207,                   0,           0.0062817,           0.0062817,           0.0062817
                 107,            0.033766,           0.0080614,                   0,             0.52705,                 0.3,             0.30486,             0.07988,            0.060903,            0.026754,                   0,           0.0062535,           0.0062535,           0.0062535
                 108,            0.038134,            0.010067,                   0,              0.3309,                 0.4,             0.27643,             0.16389,            0.057191,            0.027159,                   0,           0.0062253,           0.0062253,           0.0062253
                 109,            0.032826,           0.0090969,                   0,             0.65161,                 0.2,             0.24361,             0.11166,             0.06091,            0.026463,                   0,           0.0061971,           0.0061971,           0.0061971
                 110,            0.045527,            0.023579,                   0,             0.26678,                 0.4,             0.18149,             0.10115,            0.054877,            0.028331,                   0,            0.006169,            0.006169,            0.006169
                 111,            0.034821,           0.0091104,                   0,             0.27737,                 0.4,             0.25386,             0.13169,            0.061199,            0.027657,                   0,           0.0061408,           0.0061408,           0.0061408
                 112,            0.033684,              0.0174,                   0,             0.31247,                 0.4,             0.29922,             0.13596,            0.052473,            0.028388,                   0,           0.0061126,           0.0061126,           0.0061126
                 113,             0.01855,           0.0070894,                   0,             0.55859,             0.38203,              0.3395,             0.18488,            0.054515,            0.027844,                   0,           0.0060844,           0.0060844,           0.0060844
